PLAYER,YEAR,TEAM,All-Star,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,
Jalen Brunson,2020,DAL,0,24,30,16,14,24.9,12.7,4.6,8.7,53.1,1.3,3.2,40.2,2.1,2.5,85.3,0.2,3.3,3.5,3.4,1.3,0.5,0,1.5,22.3,0,0,-0.2,108.5,108.5,0,21.9,2.66,23.3,0.8,12.3,6.8,8.8,60.5,64.6,19.3,100.81,13.1,"1,568"
Jalen Harris,2020,TOR,0,22,2,2,0,2.2,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,1,0.1,0,0,0.5,130,109.1,20.9,0,0,0,25,0,12.5,100,0,0,8.3,115.42,-10.4,10
Jalen Lecque,2020,IND,0,20,3,2,1,2.9,1.7,0.3,1.3,25,0,0.3,0,1,1,100,0.3,1,1.3,0.7,0,0,0,0,4.3,0,0,-1,76.2,90.5,-14.3,50,0,28.6,8.3,25,16.7,0,25,47,20.8,114.76,33.3,21
Jalen McDaniels,2020,CHA,0,23,17,7,10,12.5,4.5,1.7,3.9,43.9,0.4,1.4,26.1,0.8,1.1,68.4,0.5,2.2,2.6,0.5,0.8,0.1,0.2,1.8,8.6,0,0,-2.1,106.5,112.1,-5.6,5.3,0.57,8.3,3.9,17.9,10.9,14.6,48.5,51.8,17.4,105.29,4.5,462
Jalen Smith,2020,PHX,0,21,11,7,4,5.2,1.5,0.6,1.7,36.8,0.2,0.7,25,0,0.2,0,0.5,0.5,1,0.2,0.1,0,0.2,0.4,3.4,0,0,-1.2,102.4,108.5,-6.1,5,2,8.7,8.3,9.4,8.9,4.3,42.1,40.2,15.2,105.65,3.6,124
Jamal Murray,2020,DEN,0,24,34,21,13,35.4,21.8,8,16.5,48.7,2.6,6.6,39.8,3.1,3.6,84.6,0.7,3.5,4.2,4.6,2.3,1.1,0.3,2.1,35.8,0,0,6.9,119.1,110,9,19,2,18.4,2.1,10,6.1,9.2,56.7,60.2,24.8,97.78,12,"2,458"
James Ennis III,2020,ORL,0,30,24,7,17,21.4,7.3,2.5,5,50,0.9,2,44.7,1.4,1.8,78.6,1.1,2.8,3.9,1.3,0.9,0.8,0.3,2.2,16.3,1,0,0.4,110,108.6,1.3,8.5,1.52,16.8,4.9,12.8,8.8,11.1,58.8,62.8,13.2,100.37,7.5,"1,073"
James Harden,2020,BKN,1,31,31,19,12,37.8,25.3,8.1,16.7,48.4,3.3,8.1,40.1,5.9,6.9,85.9,0.8,7,7.8,11.1,4.2,1.2,0.7,2.2,52.6,24,8,2.7,118.2,115.4,2.9,43.3,2.63,31.9,2.4,18.2,10.6,12.1,58.1,64.2,27.4,99.92,17,"2,448"
James Johnson,2020,DAL,0,34,27,12,15,17.9,5.9,2.4,5.2,46.4,0.6,2.1,25.9,0.5,1,53.8,0.4,2.6,3.1,1.7,1,0.9,0.8,2,16.2,0,0,-1.3,107.7,110.1,-2.5,13.6,1.81,21.1,2.4,13.6,8.2,11.7,51.8,52.5,15.7,101.38,7.8,"1,018"
James Wiseman,2020,GSW,0,19,26,14,12,20.8,11.8,4.8,9.5,51,0.4,1,37,1.7,2.7,62.9,1.4,4.5,5.9,0.7,1.5,0.3,1.1,3.2,22.7,2,0,-3.3,101.7,107.3,-5.5,5.1,0.45,5.1,6.2,19.2,12.9,11.4,53,55.1,23.9,107.56,9.6,"1,203"
Jared Dudley,2020,LAL,0,35,11,6,5,6.9,0.5,0.2,0.6,28.6,0.2,0.5,40,0,0,0,0.4,1.4,1.7,0.5,0.2,0.1,0.1,0.6,3.7,0,0,0.3,100.6,101.3,-0.7,8.3,2.5,35.7,4.9,20,12.2,14.3,42.9,42.9,4.8,100.2,5.7,161
