PLAYER,YEAR,TEAM,All-Star,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTÂ Ratio,OREB%,DREB%,REB%,TOÂ Ratio,eFG%,TS%,USG%,PACE,PIE,POSS
Montrezl Harrell,2019,LAC,0,26,47,33,14,28.7,19.3,7.9,13.8,56.8,0,0.3,0,3.6,5.7,63,2.8,4.4,7.2,1.8,1.9,0.7,1.2,2.3,34.4,8,0,3.6,111.6,106.1,5.5,10.7,0.99,9.3,9.1,13.4,11.3,9.4,56.8,59.1,25,104.89,14.1,"2,955"
Moritz Wagner,2019,WAS,0,23,21,7,14,20.4,11.6,4.4,7.6,58.1,1,2.7,39.3,1.7,2,83.7,1.6,4.4,6,1.3,2,0.7,0.6,3.9,22.8,2,0,-1.5,109.3,111.6,-2.3,9.7,0.65,11.2,7.1,21.7,14,17.3,65,68.2,20.4,107.88,11.2,960
Moses Brown,2019,POR,0,20,7,4,3,3.3,1.4,0.6,1.3,44.4,0,0,0,0.3,0.6,50,0.4,1.1,1.6,0,0.4,0.1,0,0.7,3.3,0,0,-5.1,75,150,-75,0,0,0,9.7,34.8,20.4,21.4,44.4,46.5,22.6,112.61,4.7,56
Myles Turner,2019,IND,0,24,38,24,14,28.9,12.1,4.3,9.6,44.6,1.4,4.2,33.5,2.1,2.9,74.3,1.2,4.8,6,1.2,1.2,0.7,1.9,2.6,27.8,5,0,0.9,109.1,107.1,2,5.7,0.94,8.8,4.3,16.3,10.3,9.4,52.1,55.8,18.3,98.24,9.1,"2,244"
Nassir Little,2019,POR,0,20,36,16,20,12.6,3.6,1.3,3.2,41.7,0.3,1.2,20.9,0.6,1,65.7,0.8,1.8,2.6,0.5,0.4,0.3,0.4,1.6,8.9,1,0,-0.9,109,111,-2,5.2,1.29,11.1,5.2,12.7,9,8.6,45.7,49.1,13,103.66,5,971
Naz Mitrou-Long,2019,IND,0,26,3,2,1,14.2,4.7,2,5.3,37.5,0.7,3.7,18.2,0,0,0,0,2,2,2.3,0.7,0.3,0.3,0.3,11.9,0,0,6,100,79.1,20.9,25,3.5,28,0,11.5,5.8,8,43.8,43.8,17.3,102.17,12.5,90
Naz Reid,2019,MIN,0,20,14,4,10,11.1,6.9,2.6,6.5,39.6,1.1,3.5,30.6,0.6,1,64.3,0.7,1.6,2.3,0.9,0.6,0.4,0.4,2.1,12.8,0,0,1.1,105.3,100.3,5,14,1.63,11,5.2,12.6,8.7,6.8,47.8,49.4,26.7,104.99,7.8,339
Nemanja Bjelica,2019,SAC,0,32,48,18,30,28.2,12.3,4.6,9.6,48.3,2,4.5,43.5,1,1.2,85.7,1.7,4.8,6.5,2.7,1.5,0.9,0.6,3,27,6,0,-1.1,108.6,111.5,-3,13.8,1.81,19,5.8,17.7,11.6,10.5,58.4,60.4,17.7,98.64,10.7,"2,794"
Nerlens Noel,2019,OKC,0,26,40,24,16,19,8.3,3.3,4.8,68.4,0,0.1,50,1.7,2.1,80.5,1.7,3.7,5.3,1.1,1.1,1.1,1.6,2.5,23.2,3,0,-0.3,106.3,106.6,-0.4,9.4,1.05,14.2,9,17.7,13.6,13.5,68.7,72.2,15.7,100.29,14.2,"1,584"
Nickeil Alexander-Walker,2019,NOP,0,21,38,15,23,12.8,5.6,2,5.8,34.7,1.1,3.1,34.5,0.4,0.7,60.7,0.2,1.8,2,1.9,0.9,0.3,0.2,1.1,11.2,0,0,-1.2,108.7,112.7,-4,20.6,2.06,21.1,1.3,13.5,7.3,10.2,43.7,45,22.5,105.03,6.8,"1,066"
Nicolas Batum,2019,CHA,0,31,22,6,16,23,3.6,1.3,3.7,34.6,0.6,2.2,28.6,0.4,0.5,90,1.1,3.4,4.5,3,1,0.8,0.4,1.9,16,0,0,-2.2,108.6,111.9,-3.3,17.3,3,38.2,4.9,14.6,9.7,12.7,43.2,46.3,9.3,97.67,6.8,"1,021"
Nicolas Claxton,2019,BKN,0,21,14,5,9,13.1,4.4,1.9,3.3,56.5,0.1,0.5,14.3,0.6,1.4,47.4,1.4,1.7,3.1,1.1,0.6,0.1,0.6,1,11.1,0,0,-4.2,94.7,108.5,-13.7,14.3,1.78,20.3,9.1,10.8,10,11.4,57.6,57,14.1,104.8,8.9,398
Nicolo Melli,2019,NOP,0,29,36,15,21,14.9,5.7,1.9,4.4,44.6,1,2.8,35.4,0.8,1,81.1,0.5,1.9,2.4,1,0.8,0.6,0.2,1.8,11.6,0,0,-1.9,103.4,109.8,-6.4,10,1.29,15.2,3.3,12.8,7.8,11.8,55.7,59.2,15.5,103.63,7.3,"1,159"
Nigel Williams-Goss,2019,UTA,0,25,9,5,4,3.1,0.4,0.1,0.8,14.3,0,0.2,0,0.2,0.2,100,0.2,0.3,0.6,0.6,0.2,0.1,0.1,0.2,2.4,0,0,0.8,95,79.4,15.6,23.8,2.5,33.3,6.5,8.6,7.6,13.3,14.3,25.4,14.1,106.87,5,60
Nikola Jokic,2019,DEN,1,25,48,33,15,32,20,7.7,15.1,50.9,1.3,3.9,32.6,3.4,4.2,80.1,2.4,7.6,10,6.6,2.9,1.1,0.6,3.1,43.9,29,9,4,111.8,106.5,5.3,33.4,2.24,24.9,7.4,24.1,15.6,11.1,55.1,59,26.6,96.94,17.8,"3,116"
Nikola Vucevic,2019,ORL,0,29,37,16,21,31.6,18.6,7.4,16.6,44.2,1.7,4.8,35.6,2.2,2.8,81.4,2.7,8.3,11,3.5,1.4,0.9,0.8,2.3,41,24,0,0.2,107.6,107.9,-0.3,18.3,2.51,15.3,8,26.9,17.1,6.1,49.3,52.3,26.1,99.11,15,"2,422"
Noah Vonleh,2019,DEN,0,24,29,10,19,12,4.1,1.6,3,54.7,0.1,0.5,14.3,0.8,1,82.1,1.2,2.8,4,0.9,0.7,0.4,0.2,1.2,11.4,0,0,-1.7,97.4,102.1,-4.7,11.6,1.37,18.1,8.4,20.7,14.4,13.2,55.8,60.5,13.6,106.79,12.7,767
Norman Powell,2019,TOR,0,27,37,28,9,28.2,15.4,5.5,11.1,49.9,2.1,5.1,41,2.3,2.7,84,0.6,3.2,3.8,1.7,1.5,1.2,0.4,2,25.7,0,0,3.8,109.6,103.2,6.5,9.2,1.15,11.1,2,9.7,6.1,9.7,59.3,62.8,20.4,103.42,10.9,"2,244"
Norvel Pelle,2019,PHI,0,27,14,8,6,11.1,2.5,1.1,1.9,55.6,0,0,0,0.4,0.7,50,0.9,2.8,3.6,0.5,0.8,0.1,1.5,2.2,11.6,0,0,-2.7,97.8,109.7,-11.9,6.4,0.64,14,7.4,23.5,15.5,22,55.6,55.7,11.7,98.71,7.4,320
OG Anunoby,2019,TOR,0,22,47,33,14,29.3,10.5,4.2,8.6,48.9,1.3,3.6,36.9,0.8,1.2,64.9,1.1,4.4,5.5,1.7,1.2,1.1,0.7,2.4,23.7,4,0,3.7,110.4,104.6,5.8,8,1.34,13.9,3.6,14.1,9,10.3,56.6,57.6,15.1,101.38,8.3,"2,909"
Omari Spellman,2019,MIN,0,22,46,9,37,17.9,7.7,2.7,6.1,43.6,0.9,2.3,40,1.5,1.8,80.7,1.7,2.9,4.6,1,1.1,0.7,0.5,1.2,17.2,1,0,-2.9,101,109.5,-8.5,9,0.9,11,8.1,15.8,11.8,12.2,51.1,55.8,17.9,102.28,10.5,"1,761"
Oshae Brissett,2019,TOR,0,22,14,10,4,8.2,2.1,0.8,2.1,36.7,0.2,0.9,25,0.4,0.4,83.3,0.6,0.9,1.5,0.3,0.4,0.2,0.1,1.1,4.9,0,0,1.3,107.1,100,7.1,5,0.8,9.5,6.4,10,8.2,11.9,41.7,46,13.5,99.97,3.6,240
Otto Porter Jr.,2019,CHI,0,27,9,3,6,25.1,11.2,3.9,9.3,41.7,1.8,4.4,40,1.7,2.2,75,0.9,2.6,3.4,1.6,0.8,1,0.3,2.2,20.9,0,0,0.8,109.4,108.4,1,9.2,2,12.4,3.3,10.3,6.6,6.2,51.2,54.4,18.4,101.63,8,479
